epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.7631,2.30855,4.09059,1.41512,0.70928,0.67423,0.71696,0.32432,1.86675,2.1427,1.23893,0.000332498,0.000332498,0.000332498
2,101.771,1.92553,1.85084,1.21827,0.8593,0.79579,0.8781,0.39456,1.82968,1.36767,1.21905,0.000657592,0.000657592,0.000657592
3,146.991,1.8721,1.39814,1.18988,0.9202,0.8779,0.93716,0.43556,1.75779,1.05533,1.1882,0.000974435,0.000974435,0.000974435
4,193.432,1.8278,1.20179,1.17525,0.92019,0.84724,0.91337,0.44129,1.7421,1.03614,1.18291,0.000962875,0.000962875,0.000962875
5,240.223,1.79068,1.11343,1.15575,0.92719,0.89288,0.93774,0.4594,1.70662,0.93915,1.16106,0.0009505,0.0009505,0.0009505
6,287.405,1.76655,1.04818,1.14034,0.95539,0.89693,0.95179,0.46225,1.70968,0.86539,1.15947,0.000938125,0.000938125,0.000938125
7,334.322,1.75618,1.01589,1.13248,0.96874,0.91808,0.96313,0.47817,1.6614,0.8311,1.14676,0.00092575,0.00092575,0.00092575
8,380.782,1.73668,0.97362,1.12875,0.9498,0.89413,0.9433,0.46592,1.70633,0.88621,1.155,0.000913375,0.000913375,0.000913375
9,426.91,1.71931,0.95179,1.12575,0.94753,0.88648,0.94141,0.44791,1.73639,0.86768,1.16053,0.000901,0.000901,0.000901
10,473.242,1.71271,0.92333,1.11506,0.95866,0.91987,0.96447,0.48182,1.68793,0.79497,1.15266,0.000888625,0.000888625,0.000888625
11,519.997,1.68749,0.89602,1.10997,0.95928,0.91826,0.96133,0.48439,1.661,0.8013,1.13834,0.00087625,0.00087625,0.00087625
12,567.591,1.68346,0.88292,1.11224,0.96501,0.94435,0.973,0.49825,1.64043,0.75546,1.1268,0.000863875,0.000863875,0.000863875
13,614.611,1.66733,0.85785,1.09709,0.96544,0.95067,0.97392,0.50119,1.62513,0.74064,1.11514,0.0008515,0.0008515,0.0008515
14,661.215,1.6647,0.85631,1.09939,0.95806,0.955,0.97505,0.50625,1.62518,0.71705,1.12257,0.000839125,0.000839125,0.000839125
15,707.621,1.66067,0.83225,1.09387,0.96398,0.95615,0.97767,0.52256,1.58485,0.69917,1.10953,0.00082675,0.00082675,0.00082675
16,754.418,1.64991,0.82475,1.09191,0.97143,0.95536,0.97495,0.50601,1.61046,0.70281,1.11304,0.000814375,0.000814375,0.000814375
17,800.218,1.64976,0.82275,1.09861,0.97458,0.94953,0.97618,0.51916,1.57336,0.68639,1.10412,0.000802,0.000802,0.000802
18,847.485,1.62984,0.79975,1.08206,0.97106,0.95828,0.97849,0.53006,1.5682,0.66842,1.10084,0.000789625,0.000789625,0.000789625
19,894.001,1.63162,0.79709,1.08446,0.97323,0.94289,0.97507,0.51636,1.5914,0.68512,1.10813,0.00077725,0.00077725,0.00077725
20,940.933,1.60893,0.78589,1.07931,0.96488,0.95883,0.97731,0.52062,1.57161,0.67384,1.10134,0.000764875,0.000764875,0.000764875
21,987.534,1.61262,0.78788,1.08012,0.96589,0.96737,0.98063,0.51582,1.58644,0.6689,1.10388,0.0007525,0.0007525,0.0007525
22,1034.22,1.60684,0.76976,1.07435,0.96757,0.95845,0.97937,0.51523,1.59393,0.66929,1.1091,0.000740125,0.000740125,0.000740125
23,1080.86,1.60855,0.77677,1.07574,0.97465,0.96714,0.98226,0.52432,1.56623,0.66,1.09589,0.00072775,0.00072775,0.00072775
24,1127.47,1.59936,0.76086,1.07261,0.97302,0.96339,0.98492,0.52431,1.57395,0.64515,1.10307,0.000715375,0.000715375,0.000715375
25,1174.61,1.59285,0.75466,1.06925,0.96943,0.97323,0.9872,0.53842,1.5357,0.62853,1.08574,0.000703,0.000703,0.000703
26,1220.92,1.58299,0.74667,1.07179,0.97713,0.96415,0.98714,0.53524,1.542,0.6362,1.08696,0.000690625,0.000690625,0.000690625
27,1267.26,1.56206,0.73528,1.06123,0.9731,0.97306,0.98293,0.532,1.5446,0.6283,1.0876,0.00067825,0.00067825,0.00067825
28,1314.35,1.58116,0.73724,1.07118,0.97235,0.97857,0.98501,0.52802,1.55819,0.6236,1.09369,0.000665875,0.000665875,0.000665875
29,1361.22,1.56519,0.73004,1.06072,0.97863,0.97446,0.9872,0.53693,1.55155,0.61451,1.08446,0.0006535,0.0006535,0.0006535
30,1408.75,1.55748,0.7248,1.06148,0.9763,0.97468,0.98536,0.53494,1.5599,0.61765,1.09389,0.000641125,0.000641125,0.000641125
31,1455.54,1.56408,0.72236,1.05486,0.968,0.9797,0.98575,0.53881,1.52897,0.60469,1.07837,0.00062875,0.00062875,0.00062875
32,1501.59,1.55137,0.71287,1.05717,0.97721,0.96853,0.98319,0.53938,1.5326,0.61436,1.08105,0.000616375,0.000616375,0.000616375
33,1547.71,1.54305,0.7106,1.05111,0.97384,0.97056,0.98432,0.53399,1.53245,0.60932,1.08164,0.000604,0.000604,0.000604
34,1594.44,1.54357,0.70105,1.05282,0.97557,0.97578,0.98623,0.54319,1.51869,0.60353,1.07149,0.000591625,0.000591625,0.000591625
35,1640.77,1.53243,0.70448,1.04906,0.97825,0.97959,0.98743,0.54529,1.50911,0.5922,1.07123,0.00057925,0.00057925,0.00057925
36,1686.75,1.5378,0.69734,1.05239,0.9796,0.97815,0.98836,0.54744,1.5059,0.59087,1.07224,0.000566875,0.000566875,0.000566875
37,1733.07,1.51868,0.68925,1.04865,0.97251,0.98299,0.98736,0.53767,1.55115,0.60495,1.08315,0.0005545,0.0005545,0.0005545
38,1779.94,1.51664,0.68732,1.04762,0.97743,0.97763,0.98704,0.54958,1.50415,0.58069,1.06819,0.000542125,0.000542125,0.000542125
39,1826.36,1.51421,0.68372,1.04023,0.979,0.97777,0.98815,0.55825,1.48207,0.57355,1.06799,0.00052975,0.00052975,0.00052975
40,1872.83,1.51497,0.68674,1.04348,0.97766,0.98025,0.98849,0.5575,1.47644,0.56811,1.06113,0.000517375,0.000517375,0.000517375
41,1919.55,1.51263,0.68011,1.04295,0.97734,0.98402,0.98855,0.56425,1.46688,0.57155,1.05912,0.000505,0.000505,0.000505
42,1966.97,1.49355,0.67098,1.03593,0.97204,0.98503,0.98757,0.55893,1.46837,0.56935,1.05898,0.000492625,0.000492625,0.000492625
43,2013.56,1.49364,0.67173,1.04015,0.97767,0.98524,0.98962,0.55691,1.47227,0.57019,1.05987,0.00048025,0.00048025,0.00048025
44,2060.23,1.48177,0.66296,1.0295,0.97643,0.98392,0.99056,0.55978,1.47017,0.56613,1.06004,0.000467875,0.000467875,0.000467875
45,2106.96,1.48241,0.65767,1.03304,0.97644,0.98752,0.9892,0.55915,1.45986,0.55985,1.05615,0.0004555,0.0004555,0.0004555
46,2153.24,1.47134,0.65367,1.02413,0.97921,0.98558,0.98902,0.55753,1.46296,0.55955,1.05549,0.000443125,0.000443125,0.000443125
47,2200.34,1.46897,0.66004,1.02756,0.97954,0.99144,0.99058,0.56004,1.46239,0.55768,1.05698,0.00043075,0.00043075,0.00043075
48,2247.8,1.46267,0.64808,1.0272,0.97638,0.98856,0.99043,0.56492,1.46018,0.55252,1.05574,0.000418375,0.000418375,0.000418375
49,2294.61,1.45721,0.64773,1.0269,0.97787,0.98472,0.98925,0.56827,1.44489,0.55327,1.05108,0.000406,0.000406,0.000406
50,2341.13,1.44695,0.64631,1.02179,0.98019,0.98463,0.99046,0.56527,1.44946,0.55188,1.04767,0.000393625,0.000393625,0.000393625
